step,S,I,R
0,0.9996,0.0004,0.0
1,0.9992,0.0004,0.0004
2,0.9984,0.0012,0.0004
3,0.9976,0.002,0.0004
4,0.9964,0.0028,0.0008
5,0.9936,0.0056,0.0008
6,0.988,0.0112,0.0008
7,0.9792,0.02,0.0008
8,0.9684,0.0304,0.0012
9,0.9592,0.0388,0.002
10,0.9476,0.0496,0.0028
11,0.9332,0.0628,0.004
12,0.9196,0.0744,0.006
13,0.9024,0.0884,0.0092
14,0.884,0.1004,0.0156
15,0.8644,0.1148,0.0208
16,0.8476,0.126,0.0264
17,0.8288,0.1368,0.0344
18,0.8108,0.1488,0.0404
19,0.7916,0.16,0.0484
20,0.7712,0.1708,0.058
21,0.756,0.1792,0.0648
22,0.7396,0.1868,0.0736
23,0.7204,0.1968,0.0828
24,0.7016,0.206,0.0924
25,0.6808,0.2168,0.1024
26,0.6608,0.2264,0.1128
27,0.6396,0.2376,0.1228
28,0.6216,0.2444,0.134
29,0.6008,0.2524,0.1468
30,0.5752,0.2648,0.16
31,0.55,0.2796,0.1704
32,0.5308,0.2848,0.1844
33,0.5092,0.2916,0.1992
34,0.4844,0.2988,0.2168
35,0.4632,0.3048,0.232
36,0.4416,0.31,0.2484
37,0.4144,0.32,0.2656
38,0.3904,0.3284,0.2812
39,0.3652,0.3392,0.2956
40,0.34,0.3476,0.3124
41,0.3128,0.3564,0.3308
42,0.2848,0.368,0.3472
43,0.254,0.376,0.37
44,0.228,0.386,0.386
45,0.2036,0.3884,0.408
46,0.1752,0.3984,0.4264
47,0.1528,0.4,0.4472
48,0.1328,0.4,0.4672
49,0.1132,0.4008,0.486
50,0.0956,0.3964,0.508
51,0.0792,0.3924,0.5284
52,0.0692,0.3836,0.5472
53,0.0576,0.376,0.5664
54,0.048,0.366,0.586
55,0.0408,0.3572,0.602
56,0.0308,0.3472,0.622
57,0.0244,0.3344,0.6412
58,0.0176,0.326,0.6564
59,0.0128,0.3144,0.6728
60,0.0092,0.3016,0.6892
61,0.006,0.2948,0.6992
62,0.0044,0.2816,0.714
63,0.002,0.2692,0.7288
64,0.0004,0.2576,0.742
65,0.0,0.2444,0.7556
66,0.0,0.228,0.772
67,0.0,0.216,0.784
68,0.0,0.2092,0.7908
69,0.0,0.2012,0.7988
70,0.0,0.188,0.812
71,0.0,0.178,0.822
72,0.0,0.1664,0.8336
73,0.0,0.1596,0.8404
74,0.0,0.1532,0.8468
75,0.0,0.1436,0.8564
76,0.0,0.1348,0.8652
77,0.0,0.1268,0.8732
78,0.0,0.1188,0.8812
79,0.0,0.1124,0.8876
80,0.0,0.1048,0.8952
81,0.0,0.0988,0.9012
82,0.0,0.0948,0.9052
83,0.0,0.0896,0.9104
84,0.0,0.0856,0.9144
85,0.0,0.0784,0.9216
86,0.0,0.0712,0.9288
87,0.0,0.068,0.932
88,0.0,0.0636,0.9364
89,0.0,0.062,0.938
90,0.0,0.0592,0.9408
91,0.0,0.0576,0.9424
92,0.0,0.054,0.946
93,0.0,0.0524,0.9476
94,0.0,0.0508,0.9492
95,0.0,0.046,0.954
96,0.0,0.0448,0.9552
